Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Hesperiidae,Hesperia ottoe,W. H. Edwards,Ottoe Skipper,1,2.00,,32,768786,3,3
Hesperiidae,Hesperia sassacus,T. Harris,Indian Skipper,12,4.25,0.97,27.5,834475,3,4
Hesperiidae,Hesperia uncas,W. H. Edwards,Uncas Skipper,3,4.00,2.65,27.5,1562656,3,5
Hesperiidae,Hylephila phyleus,(Drury),Fiery Skipper,10,8.40,1.26,27.5,2617242,3,5
Nymphalidae,Junonia coenia,Hübner,Common Buckeye,19,7.53,2.50,41,3708114,3,5
Lycaenidae,Leptotes marina,(Reakirt),Marine Blue,3,5.33,2.31,20.5,2305653,3,5
Hesperiidae,Lerema accius,(J. E. Smith),Clouded Skipper,1,3.00,,,1301157,,5
Nymphalidae,Lethe anthedon,A. Clark,Northern Pearly-eye,34,5.12,1.70,48,1815851,3,4
Nymphalidae,Lethe appalachia,R. Chermock,Appalachian Brown,13,4.15,1.82,45,2087414,3,4
Nymphalidae,Lethe eurydice,(Linnaeus),Eyed Brown,28,4.29,2.13,43,2070953,3,4
Nymphalidae,Libytheana carinenta,(Cramer),American Snout,10,8.50,1.72,46,,1,5
Nymphalidae,Limenitis archippus,(Cramer),Viceroy,37,6.81,1.66,67,4568031,3,5
Nymphalidae,Limenitis arthemis,(Drury),White Admiral,36,6.97,1.51,62.5,5240753,3,5
Nymphalidae,Limenitis lorquini,Boisduval,Lorquin's Admiral,9,6.33,1.73,59,722099,3,5
Nymphalidae,Limenitis weidemeyerii,W. H. Edwards,Weidemeyer's Admiral,5,6.00,1.87,63.5,942964,3,5
Lycaenidae,Lycaena cupreus,(W. H. Edwards),Lustrous Copper,4,4.25,1.50,26.5,521889,2,5
Lycaenidae,Lycaena dione,(Scudder),Grey Copper,6,4.50,2.26,33.5,1247679,2,5
Lycaenidae,Lycaena dorcas,W. Kirby,Dorcas Copper,14,2.93,1.21,23,2284681,1,5
Lycaenidae,Lycaena dospassosi,McDunnough,Maritime Copper,1,1.00,,28,,1,2
Lycaenidae,Lycaena editha,(Mead),Edith's Copper,4,4.00,1.83,,453944,,5
Lycaenidae,Lycaena epixanthe,(Boisduval & Le Conte),Bog Copper,17,2.00,1.84,19.5,1262019,2,4
Lycaenidae,Lycaena helloides,(Boisduval),Purplish Copper,16,3.94,1.81,28,,3,5
Lycaenidae,Lycaena heteronea,Boisduval,Blue Copper,6,4.00,1.55,29.5,863146,2,5
Lycaenidae,Lycaena hyllus,(Cramer),Bronze Copper,27,4.19,1.88,30.5,2318023,2,4
Lycaenidae,Lycaena mariposa,(Reakirt),Mariposa Copper,8,4.00,1.41,25.5,1067002,1,5
Lycaenidae,Lycaena nivalis,(Boisduval),Lilac-bordered Copper,8,3.50,1.20,27,601826,1,5
Lycaenidae,Lycaena phlaeas,(Linnaeus),American Copper,29,4.55,1.88,25.5,4768971,2,5
Lycaenidae,Lycaena rubidus,(Behr),Ruddy Copper,4,3.75,1.71,30,996136,2,5
Nymphalidae,Megisto cymela,(Cramer),Little Wood-Satyr,27,5.37,2.19,35.5,2274138,3,5
Pieridae,Nathalis iole,Boisduval,Dainty Sulphur,4,5.00,3.83,26,3744326,3,5
Nymphalidae,Neominois ridingsii,(W. H. Edwards),Ridings' Satyr,4,5.00,1.83,39,1070549,2,5
Pieridae,Neophasia menapia,(C. Felder & R. Felder),Pine White,9,5.67,2.00,46,1248742,3,5
Nymphalidae,Nymphalis antiopa,(Linnaeus),Mourning Cloak,47,7.19,1.52,62,,3,5
Nymphalidae,Nymphalis californica,(Boisduval),California Tortoiseshell,12,8.50,1.38,53,2373450,2,5
Nymphalidae,Nymphalis l-album,(Esper),Compton Tortoiseshell,29,6.69,1.63,61,5436613,3,5
Hesperiidae,Oarisma garita,(Reakirt),Garita Skipperling,7,3.43,1.13,22.5,1201563,3,5
Hesperiidae,Oarisma poweshiek,(Parker),Poweshiek Skipperling,2,1.00,1.41,27,222246,3,2
Hesperiidae,Ochlodes sylvanoides,(Boisduval),Woodland Skipper,7,5.29,2.14,25.5,1130512,3,5
Nymphalidae,Oeneis alberta,Elwes,Alberta Arctic,3,6.00,1.73,38.5,434524,3,4
Nymphalidae,Oeneis alpina,Kurentsov,Sentinel Arctic,2,4.50,3.54,41.5,356276,,3
Nymphalidae,Oeneis bore,(Esper),White-veined Arctic,4,5.50,1.29,43,3121362,3,5
Nymphalidae,Oeneis chryxus,(E. Doubleday),Chryxus Arctic,18,4.22,1.80,46.5,3269212,3,5
Nymphalidae,Oeneis jutta,Hübner,Jutta Arctic,14,2.86,1.83,45,7561228,3,5
Nymphalidae,Oeneis macounii,(W. H. Edwards),Macoun's Arctic,10,4.30,1.89,55.5,1204984,,5
Nymphalidae,Oeneis melissa,(Fabricius),Melissa Arctic,6,5.67,1.63,42,,3,5
Nymphalidae,Oeneis nevadensis,(C. Felder & R. Felder),Great Arctic,4,5.50,1.29,55,181347,,5
Nymphalidae,Oeneis philipi,Troubridge,Philip's Arctic,2,5.50,2.12,47,,2,3
Nymphalidae,Oeneis polixenes,(Fabricius),Polixenes Arctic,6,5.33,1.21,42,3408053,3,5
Nymphalidae,Oeneis uhleri,(Reakirt),Uhler's Arctic,5,5.00,2.12,40.5,1172245,3,5
Hesperiidae,Panoquina ocola,(W. H. Edwards),Ocola Skipper,2,7.00,1.41,31,1337129,3,5
Papilionidae,Papilio brevicauda,Saunders,Short-tailed Swallowtail,3,2.67,1.53,65,185612,3,3
Papilionidae,Papilio canadensis,Rothschild & Jordan,Canadian Tiger Swallowtail,34,7.79,1.75,71.5,5371368,3,5
Papilionidae,Papilio cresphontes,Cramer,Giant Swallowtail,13,7.00,2.41,98,2676327,2,5
Papilionidae,Papilio eurymedon,Lucas,Pale Swallowtail,10,8.00,0.67,81,985010,3,5
Papilionidae,Papilio glaucus,Linnaeus,Eastern Tiger Swallowtail,14,7.50,2.14,87.5,1317836,3,5
Papilionidae,Papilio indra,Reakirt,Indra Swallowtail,4,5.00,1.83,65,888717,3,5
Papilionidae,Papilio machaon,Linnaeus,Old World Swallowtail,8,7.00,1.51,73,2696092,3,5
Papilionidae,Papilio multicaudata,W. F. Kirby,Two-tailed Swallowtail,7,7.43,0.79,81,1881405,3,5
Papilionidae,Papilio polyxenes,Fabricius,Black Swallowtail,30,7.67,1.66,73,2923205,3,5
Papilionidae,Papilio rutulus,Lucas,Western Tiger Swallowtail,11,7.91,0.83,77.5,1317836,3,5
Papilionidae,Papilio troilus,Linnaeus,Spicebush Swallowtail,9,6.11,1.62,80,1914139,3,4
Papilionidae,Papilio zelicaon,Lucas,Anise Swallowtail,13,7.85,1.28,66,1705538,3,5
Papilionidae,Parnassius clodius,Ménétriés,Clodius Parnassian,9,6.11,1.90,59,724629,2,5
Papilionidae,Parnassius eversmanni,[Ménétriés],Eversmann's Parnassian,5,4.60,2.30,50,1217617,2,4
Papilionidae,Parnassius phoebus,(Fabricius),Phoebus Parnassian,3,5.33,2.08,51.5,2139014,2,5
Papilionidae,Parnassius smintheus,E. Doubleday,Rocky Mountain Parnassian,10,5.40,1.58,54,,2,5
Lycaenidae,Parrhasius m-album,(Boisduval & Le Conte),White-m Hairstreak,2,6.50,0.71,30.5,76981,2,5
Pieridae,Phoebis sennae,(Linnaeus),Cloudless Sulphur,2,8.00,1.41,70.5,3251102,3,5
Hesperiidae,Pholisora catullus,(Fabricius),Common Sootywing,11,4.55,1.92,24.5,,3,5
Nymphalidae,Phyciodes batesii,(Reakirt),Tawny Crescent,14,4.86,1.99,31.5,1901860,2,4
Nymphalidae,Phyciodes cocyta,(Cramer),Northern Crescent,35,5.43,1.54,30,,2,5
Nymphalidae,Phyciodes mylitta,(W. H. Edwards),Mylitta Crescent,10,5.70,1.49,29.5,1080379,3,5
Nymphalidae,Phyciodes pallida,(W. H. Edwards),Pale Crescent,4,5.25,0.96,38.5,618463,2,5
Nymphalidae,Phyciodes pulchella,(Boisduval),Field Crescent,10,4.80,0.92,30,,2,5
Nymphalidae,Phyciodes tharos,(Drury),Pearl Crescent,28,5.61,1.72,27.5,2610500,2,5
Pieridae,Pieris angelika,Eitschberger,Arctic White,3,5.00,1.00,37.5,,,5
Pieridae,Pieris marginalis,Scudder,Margined White,6,5.33,2.07,41,,3,5
Pieridae,Pieris oleracea,(T. Harris),Mustard White,25,5.36,1.78,41,6115267,3,4
Pieridae,Pieris rapae,(Linnaeus),Cabbage White,45,7.56,1.96,39.5,6379427,3,5
Pieridae,Pieris virginiensis,W. H. Edwards,West Virginia White,7,2.57,1.27,36,495032,1,3
Lycaenidae,Plebejus anna,(W. H. Edwards),Anna Blue,3,3.67,1.15,,,,
Lycaenidae,Plebejus glandon,(de Prunner),Arctic Blue,5,4.60,1.14,20,6508385,3,5
Lycaenidae,Plebejus icarioides,(Boisduval),Boisduval's Blue,10,4.00,1.70,26.5,1359048,2,5
