CheckListKey,Genus,Species,Subspecies,CombinedLatin,CommonName,Show,NWquadrant,NEquadrant,SWquadrant,SEquadrant,Kind,Revised,Author,Year,Changed,By,Comment,CountTotal,Countys,Endangered,Synonym,Family,GCKey,grp,SortOrder,tmp_SitesReporting,tmp_TotalCount,tmp_HighCountSite,tmp_HighCount,tmp_HighCountDate,tmp_HighCtyAbbr
4421,Polygonia,comma,,Polygonia comma,Eastern Comma,TRUE,,,,,B,T,Harris,1842,,,,4131,102,"res., uncommon to common",,46,40,0,637,49,283,Cincinnati Nature Center,9,4/13/2011,Cler
4422,Polygonia,satyrus,,Polygonia satyrus,Satyr Comma,FALSE,,,,,B,T,W. H. Edwards,1869,,,,0,0,Species of possible occurrence in Ohio,,,,,638,0,0,,0,,
4423,Polygonia,faunus,,Polygonia faunus,Green Comma,FALSE,,,,,B,T,W. H. Edwards,1862,,,,0,0,Species of possible occurrence in Ohio,,,,,639  a,0,0,,0,,
4429,Polygonia,progne,progne,Polygonia progne progne,Gray Comma,TRUE,,,N,N,B,T,Cramer,1776,,,,8,4,"res., rare, localized",,46,40,0,645  a,0,0,,0,,Fran
4430  a,Nymphalis,vau-album,j-album,Nymphalis vau-album j-album,Compton Tortoiseshell,TRUE,,,N,N,B,T,Boisduval & LeConte,1883,,,,15,7,"irregular immigrant, rare",N. vau-album j.,46,40,0,646,0,0,,0,,Summ
4431,Nymphalis,californica,,Nymphalis californica,California Tortoiseshell,FALSE,,,,,B,T,Boisduval,1852,,,,0,0,Species of possible occurrence in Ohio,,,,,647  a,0,0,,0,,
4432,Nymphalis,antiopa,antiopa,Nymphalis antiopa antiopa,Mourning Cloak,TRUE,,,,,B,T,Linnaeus,1758,,,,2171,109,"res., uncommon",,46,40,0,648  a,36,112,Woltz Road,5,5/28/2011,Hock
4433,Nymphalis,milberti,milberti,Nymphalis milberti milberti,Milbert's Tortoise Shell,TRUE,,,,,B,T,Godart,1819,,,,122,24,"res., rare to common, northernly",Nymphalus m. m.,46,40,0,649  b,3,8,The Dawes Arboretum-Dutch Fork,3,6/2/2011,Lick
4434,Vanessa,virginiensis,,Vanessa virginiensis,American Lady,TRUE,,,,,B,T,Drury,1773,,,,1257,76,"res., uncommon to common",,46,40,0,650,21,39,Top Of The World,2,7/14/2011,Summ
4435,Vanessa,cardui,,Vanessa cardui,Painted Lady,TRUE,,,,,B,T,Linnaeus,1758,,,,4021,96,"irregular immigrant, rare to common",,46,40,0,651,5,12,Woltz Road,2,10/23/2011,Hock
4437  a,Vanessa,atalanta,rubria,Vanessa atalanta rubria,Red Admiral,TRUE,,,,,B,T,Fruhstorfer,1909,,,,18101,108,"res., uncommon to common",,46,40,0,653  a,50,226,Dike 14 NP-Cleve.Lakefront NP,16,5/13/2011,Cuyh
4440,Junonia,coenia,,Junonia coenia,Common Buckeye,TRUE,,,,,B,T,Hubner,1822,,,,10345,104,"regular immigrant, rare to uncommon",,46,40,0,656,65,2591,Moseley Barrens/Kitty Todd,81,9/25/2011,Luca
4447,Euptoieta,claudia,,Euptoieta claudia,Variegated Fritillary,TRUE,,,,,B,T,Cramer,1775,,,,371,37,"regular immigrant, uncommon to rare, southernly",,46,40,0,562,9,23,The Dawes Arboretum-Davis Farm,3,9/24/2011,Lick
